,title
224,"Adventures of Sharkboy and Lavagirl 3-D, The (2005)"
225,"Adventures of Tintin, The (2011)"
226,Aeon Flux (2005)
227,"Affair of Love, An (Liaison pornographique, Une) (1999)"
228,"Affair to Remember, An (1957)"
229,Affliction (1997)
230,Africa Screams (1949)
231,Africa: The Serengeti (1994)
232,African Cats (2011)
233,"African Queen, The (1951)"
234,Afro Samurai (2007)
235,Afro Samurai: Resurrection (2009)
236,After Earth (2013)
237,After Hours (1985)
238,After Life (Wandafuru raifu) (1998)
239,After the Sunset (2004)
240,After the Thin Man (1936)
241,After the Wedding (Efter brylluppet) (2006)
242,Afterglow (1997)
243,Aftermath (1994)
244,Against All Odds (1984)
245,Against the Ropes (2004)
246,"Age of Innocence, The (1993)"
247,"Age of Stupid, The (2009)"
248,Agent Cody Banks (2003)
249,Agnes of God (1985)
250,"Agony and the Ecstasy of Phil Spector, The (2009)"
251,"Agony and the Ecstasy, The (1965)"
252,Agora (2009)
253,"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)"
254,Ai Weiwei: Never Sorry (2012)
255,Aileen: Life and Death of a Serial Killer (2003)
256,Aimée & Jaguar (1999)
257,Air America (1990)
258,Air Bud (1997)
259,Air Bud: Golden Receiver (1998)
260,Air Force One (1997)
261,"Air Up There, The (1994)"
262,Airheads (1994)
263,Airplane II: The Sequel (1982)
264,Airplane! (1980)
265,Airport '77 (1977)
266,Airport (1970)
267,Airport 1975 (1974)
268,Akeelah and the Bee (2006)
269,Akira (1988)
270,Aladdin (1992)
271,Aladdin and the King of Thieves (1996)
272,"Alamo, The (1960)"
273,Alan Partridge: Alpha Papa (2013)
274,Alaska (1996)
275,Alaska: Spirit of the Wild (1997)
276,Albatross (2011)
277,Albert Nobbs (2011)
278,Albino Alligator (1996)
279,Alex Cross (2012)
280,Alex and Emma (2003)
281,Alexander (2004)
282,Alfie (1966)
283,Alfie (2004)
284,Ali (2001)
285,Ali G Indahouse (2002)
286,Ali: Fear Eats the Soul (Angst essen Seele auf) (1974)
287,Alias Betty (Betty Fisher et autres histoires) (2001)
288,Alice (1990)
289,Alice (Neco z Alenky) (1988)
290,Alice Doesn't Live Here Anymore (1974)
291,Alice in Wonderland (1933)
292,Alice in Wonderland (1951)
293,Alice in Wonderland (2010)
294,Alice in the Cities (Alice in den Stadten) (1974)
295,Alice's Restaurant (1969)
296,"Alice, Sweet Alice (a.k.a. Communion) (a.k.a. Holy Terror) (1976)"
297,Alien (1979)
298,Alien Contamination (1980)
299,Alien Escape (1995)
300,Alien Nation (1988)
301,Alien: Resurrection (1997)
302,Aliens (1986)
303,Aliens in the Attic (2009)
304,Alien³ (a.k.a. Alien 3) (1992)
305,Alive (1993)
306,All About Eve (1950)
307,All About My Mother (Todo sobre mi madre) (1999)
308,All About the Benjamins (2002)
309,All Dogs Go to Heaven (1989)
310,All Dogs Go to Heaven 2 (1996)
311,All Good Things (2010)
312,All I Want for Christmas (1991)
313,All Is Lost (2013)
314,All Over the Guy (2001)
315,All Quiet on the Western Front (1930)
316,All That Jazz (1979)
317,All Tomorrow's Parties (2009)
318,All is Bright (2013)
319,All of Me (1984)
320,All or Nothing (2002)
321,All the King's Men (1949)
322,All the President's Men (1976)
323,All the Pretty Horses (2000)
324,All the Real Girls (2003)
325,All the Right Moves (1983)
326,All the Vermeers in New York (1990)
327,All-Star Superman (2011)
328,Allan Quatermain and the Lost City of Gold (1987)
329,Alligator (1980)
330,"Allnighter, The (1987)"
331,Almost Famous (2000)
332,Almost Heroes (1998)
333,Almost Normal (2005)
334,Aloha (2015)
335,Alone in the Dark (1982)
336,Along Came Polly (2004)
337,Along Came a Spider (2001)
338,Alpha Dog (2007)
339,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
340,Altered States (1980)
341,Alvin and the Chipmunks (2007)
342,Alvin and the Chipmunks: The Squeakquel (2009)
343,Always (1989)
344,Am Ende eiens viel zu kurzen Tages (Death of a superhero) (2011)
345,Amadeus (1984)
346,Amarcord (1973)
347,Amateur (1994)
348,Amazing Grace (2006)
349,"Amazing Panda Adventure, The (1995)"
350,"Amazing Spider-Man, The (2012)"
351,Amazon Women on the Moon (1987)
352,"Ambassador, The (Ambassadøren) (2011)"
353,Ambush (Rukajärven tie) (1999)
354,Amelia (2009)
355,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
356,America's Sweethearts (2001)
357,"America, America (1963)"
358,American Beauty (1999)
359,American Buffalo (1996)
360,"American Crime, An (2007)"
361,American Dream (1990)
362,American Flyers (1985)
363,"American Friend, The (Amerikanische Freund, Der) (1977)"
364,American Gangster (2007)
365,American Gigolo (1980)
366,American Graffiti (1973)
367,American Heart (1992)
368,American Heist (2015)
369,American History X (1998)
370,American Hustle (2013)
371,American Mary (2012)
372,American Me (1992)
373,American Movie (1999)
374,American Ninja (1985)
375,American Ninja 2: The Confrontation (1987)
376,American Ninja 3: Blood Hunt (1989)
377,American Outlaws (2001)
378,American Pie (1999)
379,American Pie 2 (2001)
380,American Pie Presents Beta House (American Pie 6: Beta House) (2007)
381,American Pie Presents The Naked Mile (American Pie 5: The Naked Mile) (2006)
382,American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005)
383,American Pie Presents: The Book of Love (American Pie 7: The Book of Love) (2009)
384,American Pimp (1999)
385,American Pop (1981)
386,"American President, The (1995)"
387,American Psycho (2000)
388,American Reunion (American Pie 4) (2012)
389,"American Rhapsody, An (2001)"
390,American Sniper (2014)
391,American Splendor (2003)
392,"American Tail, An (1986)"
393,"American Tail: Fievel Goes West, An (1991)"
394,American Teen (2008)
395,American Ultra (2015)
396,American Wedding (American Pie 3) (2003)
397,"American Werewolf in London, An (1981)"
398,"American Werewolf in Paris, An (1997)"
399,"American in Paris, An (1951)"
400,"American, The (2010)"
401,American: The Bill Hicks Story (2009)
402,"Americanization of Emily, The (1964)"
403,Amistad (1997)
404,Amityville 1992: It's About Time (1992)
405,Amityville 3-D (1983)
406,"Amityville Curse, The (1990)"
407,"Amityville Horror, The (1979)"
408,"Amityville Horror, The (2005)"
409,Amityville II: The Possession (1982)
410,Amityville: A New Generation (1993)
411,Amityville: Dollhouse (1996)
412,Among Giants (1998)
413,Amores Perros (Love's a Bitch) (2000)
414,Amos & Andrew (1993)
415,Amour (2012)
416,Amy (2015)
417,An Evening with Robin Williams (1982)
418,Anaconda (1997)
419,Anacondas: The Hunt for the Blood Orchid (2004)
420,Analyze That (2002)
421,Analyze This (1999)
422,Anastasia (1956)
423,Anastasia (1997)
424,Anatomy (Anatomie) (2000)
425,Anatomy of a Murder (1959)
426,Anchorman 2: The Legend Continues (2013)
427,Anchorman: The Legend of Ron Burgundy (2004)
428,Anchors Aweigh (1945)
429,And God Created Woman (1988)
430,And God Created Woman (Et Dieu... créa la femme) (1956)
431,And So It Goes (2014)
432,And Then There Were None (1945)
433,And Your Mother Too (Y tu mamá también) (2001)
434,And the Band Played On (1993)
435,And the Ship Sails On (E la nave va) (1983)
436,"Andalusian Dog, An (Chien andalou, Un) (1929)"
437,"Anderson Tapes, The (1971)"
438,Andre (1994)
439,Andrei Rublev (Andrey Rublyov) (1969)
440,"Andromeda Strain, The (1971)"
441,Angel Baby (1995)
442,Angel Eyes (2001)
443,Angel Heart (1987)
444,"Angel Named Billy, An (2007)"
445,Angel and the Badman (1947)
446,"Angel at My Table, An (1990)"
447,Angel on My Shoulder (1946)
448,Angela (1995)
449,Angela's Ashes (1999)
450,Angels & Demons (2009)
451,Angels and Insects (1995)
452,Angels in America (2003)
453,Angels in the Outfield (1994)
454,Angels with Dirty Faces (1938)
455,Anger Management (2003)
456,Angie (1994)
457,Angst  (1983)
458,Angus (1995)
459,"Angus, Thongs and Perfect Snogging (2008)"
460,Animal Crackers (1930)
461,Animal House (1978)
462,Animal Kingdom (2010)
463,"Animal, The (2001)"
464,Animals are Beautiful People (1974)
465,"Animatrix, The (2003)"
466,Anna Karenina (2012)
467,Anna and the King (1999)
468,Anna and the King of Siam (1946)
469,Annapolis (2006)
470,Anne Frank Remembered (1995)
471,Anne of Green Gables (1985)
472,Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987)
473,Anne of the Thousand Days (1969)
474,Annie (1982)
475,Annie Hall (1977)
476,"Anniversary Party, The (2001)"
477,Anomalisa (2015)
478,Another 48 Hrs. (1990)
479,Another Day in Paradise (1998)
480,Another Earth (2011)
481,Another Stakeout (1993)
482,Another Thin Man (1939)
483,Another Year (2010)
484,"Ant Bully, The (2006)"
485,Ant-Man (2015)
486,Antichrist (2009)
487,Antitrust (2001)
488,Antonia's Line (Antonia) (1995)
489,Antonio das Mortes (O Dragão da Maldade contra o Santo Guerreiro) (1969)
490,Antwone Fisher (2002)
491,Antz (1998)
492,Anvil! The Story of Anvil (2008)
493,Any Given Sunday (1999)
494,Any Which Way You Can (1980)
495,Anywhere But Here (1999)
496,Apache (1954)
497,Apartment 143 (2011)
498,"Apartment, The (1960)"
499,Apocalypse Now (1979)
500,Apocalypto (2006)
501,Apollo 13 (1995)
502,Apollo 13: To the Edge and Back (1994)
503,"Apostle, The (1997)"
504,"Apple Dumpling Gang Rides Again, The (1979)"
505,"Apple Dumpling Gang, The (1975)"
506,Appleseed (Appurushîdo) (2004)
507,Appointment with Death (1988)
508,"Apprenticeship of Duddy Kravitz, The (1974)"
509,Approaching the Unknown (2016)
510,April Fool's Day (1986)
511,April Love (1957)
512,Apt Pupil (1998)
513,Aqua Teen Hunger Force Colon Movie Film for Theaters (2007)
514,Aquamarine (2006)
515,Arabian Nights (Il fiore delle mille e una notte) (1974)
516,Arachnophobia (1990)
517,Are We There Yet? (2005)
518,Argo (2012)
519,Aria (1987)
520,Ariel (1988)
521,"Aristocats, The (1970)"
522,"Aristocrats, The (2005)"
523,Arizona Dream (1993)
524,Arlington Road (1999)
525,Armageddon (1998)
526,Armed and Dangerous (1986)
527,Armored (2009)
528,Armour of God (Long xiong hu di) (1987)
529,Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991)
530,Army of Darkness (1993)
531,Army of Shadows (L'armée des ombres) (1969)
532,Around the World in 80 Days (1956)
533,Around the World in 80 Days (2004)
534,Arranged (2007)
535,"Arrival, The (1996)"
536,Arsenic and Old Lace (1944)
537,Art School Confidential (2006)
538,"Art of Getting By, The (2011)"
539,"Art of Negative Thinking, The (Kunsten å tenke negativt) (2006)"
540,"Art of War, The (2000)"
541,"Art of the Steal, The (2009)"
542,"Art of the Steal, The (2013)"
543,Arthur (1981)
544,Arthur (2011)
545,Arthur 2: On the Rocks (1988)
546,Arthur Christmas (2011)
547,Arthur and the Invisibles (2007)
548,Artists and Models (1955)
549,"As Above, So Below (2014)"
550,As Good as It Gets (1997)
551,As We Were Dreaming (2015)
552,As it is in Heaven (Så som i himmelen) (2004)
553,Ashby (2015)
554,Ashes and Diamonds (Popiól i diament) (1958)
555,Ashes of Time (Dung che sai duk) (1994)
556,Asoka (Ashoka the Great) (2001)
557,Aspen (1991)
558,"Asphalt Jungle, The (1950)"
559,"Assassination of Jesse James by the Coward Robert Ford, The (2007)"
560,"Assassination of Richard Nixon, The (2004)"
561,Assassins (1995)
562,Assault on Precinct 13 (1976)
563,Assault on Precinct 13 (2005)
564,"Assignment, The (1997)"
565,"Associate, The (1996)"
566,Asterix & Obelix vs. Caesar (Astérix et Obélix contre César) (1999)
567,Asterix and the Gauls (Astérix le Gaulois) (1967)
568,Asterix and the Vikings (Astérix et les Vikings) (2006)
569,Astro Boy (2009)
570,"Astronaut Farmer, The (2007)"
571,"Astronaut's Wife, The (1999)"
572,Asylum (1972)
573,At Close Range (1986)
574,At First Sight (1999)
575,At Middleton (2013)
576,At War with the Army (1950)
577,At the Circus (1939)
578,"Atalante, L' (1934)"
579,Atlantic City (1980)
580,Atlantis: The Lost Empire (2001)
581,"Atomic Cafe, The (1982)"
582,Atonement (2007)
583,Atrocious (2010)
584,Attack of the Giant Leeches (1959)
585,Attack of the Killer Tomatoes! (1978)
586,Attack of the Mushroom People (Matango) (1963)
587,Attack the Block (2011)
588,Au Hasard Balthazar (1966)
589,Au revoir les enfants (1987)
590,Audition (Ôdishon) (1999)
591,Audrey Rose (1977)
592,August Rush (2007)
593,Auntie Mame (1958)
594,Austenland (2013)
595,Austin Powers in Goldmember (2002)
596,Austin Powers: International Man of Mystery (1997)
597,Austin Powers: The Spy Who Shagged Me (1999)
598,Australia (2008)
599,Author! Author! (1982)
600,Auto Focus (2002)
601,Autumn Sonata (Höstsonaten) (1978)
602,"Autumn Tale, An (Conte d'automne) (1998)"
603,Autumn in New York (2000)
604,Avalanche (1978)
605,Avalon (1990)
606,Avalon (2001)
607,Avatar (2009)
608,"Avengers, The (1998)"
609,"Avengers, The (2012)"
610,Avengers: Age of Ultron (2015)
611,"Aviator, The (2004)"
612,"Avventura, L' (Adventure, The) (1960)"
613,Awake (2007)
614,Awakenings (1990)
615,Away We Go (2009)
616,Away from Her (2006)
617,"Awful Truth, The (1937)"
618,"Awfully Big Adventure, An (1995)"
619,B*A*P*S (1997)
620,BASEketball (1998)
621,BURN-E (2008)
622,Baadasssss! (How to Get the Man's Foot Outta Your Ass) (2003)
623,"Baader Meinhof Komplex, Der (2008)"
624,"Babadook, The (2014)"
625,Babe (1995)
626,Babe: Pig in the City (1998)
627,Babel (2006)
628,Babes in Toyland (1934)
629,Babes in Toyland (1961)
630,Babette's Feast (Babettes gæstebud) (1987)
631,Babies (Bébé(s)) (2010)
632,Baby Boom (1987)
633,Baby Boy (2001)
634,Baby Doll (1956)
635,Baby Geniuses (1999)
636,Baby Mama (2008)
637,Baby Take a Bow (1934)
638,"Baby of Mâcon, The (a.k.a. The Baby of Macon) (1993)"
639,Baby's Day Out (1994)
640,"Baby-Sitters Club, The (1995)"
641,Baby... Secret of the Lost Legend (1985)
642,Babylon 5: A Call to Arms (1999)
643,Babylon 5: In the Beginning (1998)
644,Babylon 5: The River of Souls (1998)
645,Babylon 5: Thirdspace (1998)
646,Babylon A.D. (2008)
647,"Babysitter, The (1995)"
648,Bachelor Party (1984)
649,"Bachelor and the Bobby-Soxer, The (1947)"
650,"Bachelor, The (1999)"
651,Bachelorette (2012)
652,Back Soon (2007)
653,Back Stage (2000)
654,Back in the Day (2014)
655,Back to School (1986)
656,Back to the Beach (1987)
657,Back to the Future (1985)
658,Back to the Future Part II (1989)
659,Back to the Future Part III (1990)
660,"Back-up Plan, The (2010)"
661,Backbeat (1993)
662,Backcountry (2014)
663,Backdraft (1991)
664,Bad Asses on the Bayou (2015)
665,Bad Boy Bubby (1993)
666,Bad Boys (1983)
667,Bad Boys (1995)
668,Bad Boys II (2003)
669,Bad Company (1995)
670,Bad Company (2002)
671,Bad Day at Black Rock (1955)
672,Bad Education (La mala educación) (2004)
673,Bad Girls (1994)
674,Bad Guy (Nabbeun namja) (2001)
675,Bad Influence (1990)
676,Bad Karma (2012)
677,Bad Lieutenant (1992)
678,Bad Lieutenant: Port of Call New Orleans (2009)
679,Bad Moon (1996)
680,Bad News Bears (2005)
681,"Bad News Bears in Breaking Training, The (1977)"
682,"Bad News Bears, The (1976)"
683,Bad Santa (2003)
684,"Bad Seed, The (1956)"
685,Bad Taste (1987)
686,Bad Teacher (2011)
687,Bad Timing: A Sensual Obsession (1980)
688,Bad Words (2013)
689,"Bad and the Beautiful, The (1952)"
690,Badlands (1973)
691,Bagdad Cafe (Out of Rosenheim) (1987)
692,Bajirao Mastani (2015)
693,Balance (1989)
694,Ball of Fire (1941)
695,"Ballad of Cable Hogue, The (1970)"
696,"Ballad of Little Jo, The (1993)"
697,"Ballad of Narayama, The (Narayama Bushiko) (1958)"
698,"Ballad of Ramblin' Jack, The (2000)"
699,Ballistic: Ecks vs. Sever (2002)
700,Balls of Fury (2007)
701,Balto (1995)
702,"Bamba, La (1987)"
703,Bambi (1942)
704,Bambi Meets Godzilla (1969)
705,Bamboozled (2000)
706,Bana Masal Anlatma (2015)
707,Banana Joe (1981)
708,Bananas (1971)
709,"Band Wagon, The (1953)"
710,Band of Brothers (2001)
711,Band of the Hand (1986)
712,"Band's Visit, The (Bikur Ha-Tizmoret) (2007)"
713,Bandidas (2006)
714,Bandit Queen (1994)
715,Bandits (1997)
716,Bandits (2001)
717,Bang the Drum Slowly (1973)
718,"Bang, Bang, You're Dead (2002)"
719,Bangkok Dangerous (2008)
720,"Bank Dick, The (1940)"
721,"Bank Job, The (2008)"
722,Barabbas (1961)
723,Baraka (1992)
724,Baran (2001)
725,Barb Wire (1996)
726,Barbarella (1968)
727,"Barbarian Invasions, The (Les invasions barbares) (2003)"
728,Barbarians at the Gate (1993)
729,Barbershop (2002)
730,Barcelona (1994)
731,Barefoot (2014)
732,"Barefoot Contessa, The (1954)"
733,"Barefoot Executive, The (1971)"
734,Barefoot in the Park (1967)
735,Barenaked in America (1999)
736,Barfly (1987)
737,Barney's Great Adventure (1998)
738,Barney's Version (2010)
739,Barry Lyndon (1975)
740,Barton Fink (1991)
741,Basic (2003)
742,Basic Instinct (1992)
743,Basic Instinct 2 (2006)
744,Basket Case (1982)
745,Basket Case 2 (1990)
746,Basket Case 3: The Progeny (1992)
747,"Basketball Diaries, The (1995)"
748,Basquiat (1996)
749,Bastard Out of Carolina (1996)
750,Bat*21 (1988)
751,Batman & Robin (1997)
752,Batman (1966)
753,Batman (1989)
754,Batman Begins (2005)
755,Batman Forever (1995)
756,Batman Returns (1992)
757,Batman v Superman: Dawn of Justice (2016)
758,Batman: Mask of the Phantasm (1993)
759,"Batman: The Dark Knight Returns, Part 1 (2012)"
760,"Batman: The Dark Knight Returns, Part 2 (2013)"
761,Batman: Under the Red Hood (2010)
762,Batman: Year One (2011)
763,Bats (1999)
764,"Battered Bastards of Baseball, The (2014)"
765,Battle Beyond the Stars (1980)
766,"Battle Creek Brawl (Big Brawl, The) (1980)"
767,Battle Cry (1955)
768,Battle Hymn (1957)
769,Battle Royale (Batoru rowaiaru) (2000)
770,Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka) (2003)
771,Battle for the Planet of the Apes (1973)
772,"Battle of Algiers, The (La battaglia di Algeri) (1966)"
773,Battle: Los Angeles (2011)
774,Battlefield Earth (2000)
775,Battleground (1949)
776,Battleship (2012)
777,Battleship Potemkin (1925)
778,Battlestar Galactica (2003)
779,Battlestar Galactica: Blood & Chrome (2012)
780,Battlestar Galactica: Razor (2007)
781,Battlestar Galactica: The Plan (2009)
782,Be Cool (2005)
783,Be Kind Rewind (2008)
784,Beach Blanket Bingo (1965)
785,Beach Party (1963)
786,"Beach, The (2000)"
787,Beaches (1988)
788,Bean (1997)
789,"Bear, The (Ours, L') (1988)"
790,"Beast of War, The (Beast, The) (1988)"
791,Beastie Boys: Sabotage (1994)
792,Beastly (2011)
793,Beastmaster 2: Through the Portal of Time (1991)
794,"Beastmaster, The (1982)"
795,Beasts of No Nation (2015)
796,Beasts of the Southern Wild (2012)
797,Beat the Devil (1953)
798,Beau Pere (a.k.a. Stepfather) (Beau-père) (1981)
799,"Beautician and the Beast, The (1997)"
800,Beautiful Creatures (2013)
801,Beautiful Girls (1996)
802,"Beautiful Mind, A (2001)"
803,Beautiful People (1999)
804,Beautiful Thing (1996)
805,Beauty Is Embarrassing (2012)
806,Beauty and the Beast (1991)
807,Beauty and the Beast (La belle et la bête) (1946)
808,Beauty of the Day (Belle de jour) (1967)
809,"Beaver, The (2011)"
810,Beavis and Butt-Head Do America (1996)
811,Because I Said So (2007)
812,Because of Winn-Dixie (2005)
813,Becket (1964)
814,Becoming Jane (2007)
815,Bed & Board (Domicile conjugal) (1970)
816,Bed of Roses (1996)
817,Bedazzled (1967)
818,Bedazzled (2000)
819,Bedknobs and Broomsticks (1971)
820,Bedlam (1946)
821,"Bedroom Window, The (1987)"
822,Bedrooms & Hallways (1998)
823,Bedtime Stories (2008)
824,Bee Movie (2007)
